이름,종류,주소,평점,리뷰수
영화반점(전영화),중식,대전 대덕구 신탄진동로23번길 46,,
금광식당,한식,대전 중구 충무로 127,,
연아식당,한식,대전 중구 유천로 57-9,,
별천지,한식,대전 동구 산서로1659번길 29,,
홍천식당,한식,대전 유성구 계룡로74번길 8,,
영동식당,한식,대전 중구 계룡로874번길 27-9,,
광천식당,한식,대전 중구 대종로505번길 29,,
사리원면옥,한식,대전 중구 중교로 62,,
중국성,중식,대전 동구 대전로815번길 66,,
평양숨두부,한식,대전 동구 대전로 381,,
태화장,중식,대전 동구 중앙로203번길 78,,
백천집식당,한식,대전 동구 대전로791번길 48,,
대성관,중식,대전 중구 계백로1584번길 114,,
정식당,한식,대전 중구 중앙로130번길 37-13,,
왕관식당,한식,확인요망,,
진로집,한식,대전 중구 중교로 45-5,,
소나무집,한식,대전 중구 대전천서로 427-3,,
만수불고기,한식,대전 유성구 장대로 38,,
경동오징어국수,기타,대전 동구 계족로 369,,
광천식당,한식,대전 서구 계룡로 670-16,,
사리원면옥,한식,대전 서구 둔산로31번길 77,,
신도칼국수,한식,대전 동구 대전로825번길 11,,
적덕식당,기타,대전 동구 우암로 220-3,,
전통칼국수,한식,대전 동구 대전로825번길 13,,
대들보 함흥면옥,한식,대전 중구 계백로1583번길 39,,
대전갈비집,한식,대전 중구 대흥로175번길 28,,
학선식당,한식,대전 중구 보문로337번길 26,,
한영식당,한식,대전 중구 계룡로874번길 6,,
성심당,기타,대전 중구 대종로480번길 15,,
